cluster_id,model,stage_id,rank,peak_index_y,peak_index_x,peak_value,common_peak_fraction
Abell2744,C10,S13_P3,32,50,59,0.018275969077592182,0.9047619047619048
Abell2744,C10,S13_P3,33,50,29,0.01813605656358787,0.9047619047619048
Abell2744,C10,S13_P3,34,63,16,0.018109739018772733,0.9047619047619048
Abell2744,C10,S13_P3,35,33,1,0.018054625972668267,0.9047619047619048
Abell2744,C10,S13_P3,36,54,28,0.01766264167687088,0.9047619047619048
Abell2744,C10,S13_P3,37,15,24,0.017659638278894316,0.9047619047619048
Abell2744,C10,S13_P3,38,48,50,0.01749705011664729,0.9047619047619048
Abell2744,C10,S13_P3,39,45,26,0.017316021460790233,0.9047619047619048
Abell2744,C10,S13_P3,40,60,11,0.01712854678174602,0.9047619047619048
Abell2744,C10,S13_P3,41,9,18,0.01711323984404159,0.9047619047619048
Abell2744,C10,S13_P3,42,9,28,0.016902560341567636,0.9047619047619048
Abell2744,C10,S13_P3,43,44,33,0.0168164507911696,0.9047619047619048
Abell2744,C10,S13_P3,44,11,1,0.016715565456105135,0.9047619047619048
Abell2744,C10,S13_P3,45,61,30,0.016690827671289495,0.9047619047619048
Abell2744,C10,S13_P3,46,30,53,0.01657517751551769,0.9047619047619048
Abell2744,C10,S13_P3,47,13,35,0.016523264933148585,0.9047619047619048
Abell2744,C10,S13_P3,48,42,30,0.01647483766726492,0.9047619047619048
Abell2744,C10,S13_P3,49,53,13,0.01642803185026546,0.9047619047619048
Abell2744,C10,S13_P3,50,35,11,0.01631444477959894,0.9047619047619048
Abell2744,C10,S13_P3,51,10,32,0.016309253205320652,0.9047619047619048
Abell2744,C10,S13_P3,52,9,37,0.016303087774049443,0.9047619047619048
Abell2744,C10,S13_P3,53,8,25,0.016132133499704868,0.9047619047619048
Abell2744,C10,S13_P3,54,46,31,0.016116764709792154,0.9047619047619048
Abell2744,C10,S13_P3,55,46,6,0.016002415072199,0.9047619047619048
Abell2744,C10,S13_P3,56,58,20,0.015960076764769036,0.9047619047619048
Abell2744,C10,S13_P3,57,6,28,0.015921901014426674,0.9047619047619048
Abell2744,C10,S13_P3,58,14,44,0.015893822006885275,0.9047619047619048
Abell2744,C10,S13_P3,59,26,59,0.01570289650966088,0.9047619047619048
Abell2744,C10,S13_P3,60,9,59,0.015572161134385972,0.9047619047619048
Abell2744,C10,S13_P4,1,36,36,0.18359312340344652,0.8095238095238095
Abell2744,C10,S13_P4,2,30,33,0.16693120099377654,0.8095238095238095
Abell2744,C10,S13_P4,3,33,31,0.1644253311679519,0.8095238095238095
Abell2744,C10,S13_P4,4,30,31,0.15238574917124229,0.8095238095238095
Abell2744,C10,S13_P4,5,63,14,0.10778570068945731,0.8095238095238095
Abell2744,C10,S13_P4,6,30,63,0.08430160173362525,0.8095238095238095
Abell2744,C10,S13_P4,7,31,45,0.07275512609872939,0.8095238095238095
Abell2744,C10,S13_P4,8,63,11,0.07261266909281132,0.8095238095238095
Abell2744,C10,S13_P4,9,22,40,0.06875881375843558,0.8095238095238095
Abell2744,C10,S13_P4,10,29,37,0.06771790579786219,0.8095238095238095
Abell2744,C10,S13_P4,11,27,34,0.06741952335374579,0.8095238095238095
Abell2744,C10,S13_P4,12,56,57,0.06473682325424562,0.8095238095238095
Abell2744,C10,S13_P4,13,16,32,0.06453732625745352,0.8095238095238095
Abell2744,C10,S13_P4,14,63,33,0.06386644529031842,0.8095238095238095
Abell2744,C10,S13_P4,15,53,8,0.06292325464717995,0.8095238095238095
Abell2744,C10,S13_P4,16,63,29,0.06262906887096673,0.8095238095238095
Abell2744,C10,S13_P4,17,53,35,0.06238271057795341,0.8095238095238095
Abell2744,C10,S13_P4,18,54,63,0.059368677721944936,0.8095238095238095
Abell2744,C10,S13_P4,19,46,34,0.058026874822015975,0.8095238095238095
Abell2744,C10,S13_P4,20,14,42,0.05742164515311892,0.8095238095238095
Abell2744,C10,S13_P4,21,14,34,0.05716891179013338,0.8095238095238095
Abell2744,C10,S13_P4,22,25,8,0.057083299654222236,0.8095238095238095
