cluster_id,stage_id,smoothing,norm_mode,pearson,spearman,ssim,amplitude_ratio,variance_ratio,sign_agreement,nrmse,mean_bias
Abell2744,S13_P4,S1,N0,0.9251894624596304,0.8529153313944873,0.1385692996162898,0.1739786729869974,0.04083203801556659,1.0,0.8796594894374258,0.0892133173939404
Abell2744,S13_P4,S1,N1,0.9251894624596302,0.8529153313944873,0.9279953561627574,1.0,1.0,0.841796875,0.03560549292955943,-1.734723475976807e-18
Abell2744,S13_P4,S1,N2,0.9251894624596303,0.8529153313944873,0.9190784357209887,1.0,1.348990928245769,1.0,0.03606114157997952,0.03644218435598029
MACS0416,S00,S0,N0,0.990647008558284,0.9697543259843037,0.16015837115486786,5.526898555026776,30.356488501435173,0.76318359375,0.08024515639029313,-0.053779049344041104
MACS0416,S00,S0,N1,0.9906470085582844,0.9697543259843037,0.9912961606400793,1.0,1.0,0.951171875,0.009926817391667595,1.8431436932253575e-17
MACS0416,S00,S0,N2,0.990647008558284,0.9697543259843037,0.9913692684144855,1.0000000000000002,0.9937760965676551,0.76318359375,0.009948103727068745,-0.0025751236400594424
MACS0416,S00,S1,N0,0.9988782890792323,0.9974654467895521,0.1533234696179734,5.547440406113469,30.763259231143874,0.96923828125,0.09773489299126734,-0.05380951463360317
MACS0416,S00,S1,N1,0.9988782890792324,0.9974654467895521,0.9989423691847787,1.0,1.0,0.982177734375,0.003715528282322472,1.096128396382845e-16
MACS0416,S00,S1,N2,0.9988782890792322,0.9974654467895521,0.9989546915667115,1.0000000000000002,0.9996478912469858,0.96923828125,0.0037159007158543123,-0.00010128197869450824
MACS0416,S01,S0,N0,0.9906470085582844,0.9697543259843037,0.9913451953500678,0.9948417399048198,0.9835502274464993,0.76318359375,0.009986752693616423,1.564371256437772e-05
MACS0416,S01,S0,N1,0.9906470085582842,0.9697543259843037,0.9912961606400791,1.0000000000000002,1.0000000000000002,0.951171875,0.009926817391667593,8.977193988179977e-17
MACS0416,S01,S0,N2,0.9906470085582842,0.9697543259843037,0.9913692684144857,1.0,0.9937760965676544,0.76318359375,0.009948103727068747,-0.002575123640059329
MACS0416,S01,S1,N0,0.9988782890792322,0.9974654467895521,0.9989524876920995,0.9985392731004245,0.9967295990890614,0.96923828125,0.0037227045601360524,1.5692603123900847e-05
MACS0416,S01,S1,N1,0.9988782890792323,0.9974654467895521,0.9989423691847787,1.0,1.0,0.982177734375,0.003715528282322471,-9.75781955236954e-18
MACS0416,S01,S1,N2,0.998878289079232,0.9974654467895521,0.9989546915667115,1.0,0.9996478912469857,0.96923828125,0.0037159007158543114,-0.00010128197869442828
MACS0416,S02,S0,N0,0.975851868406607,0.9434068672154466,0.24890440521704763,0.24317479400770126,0.06348146385203511,0.92529296875,0.31524979011274484,0.08560426514530034
MACS0416,S02,S0,N1,0.9758518684066068,0.9434068672154466,0.9777152295912065,1.0,1.0,0.910400390625,0.01492034804886673,-5.984795992119984e-17
MACS0416,S02,S0,N2,0.9758518684066069,0.9434068672154466,0.9771417248877708,1.0000000000000002,1.073519208058516,0.92529296875,0.014993933631432305,0.020713784763091575
MACS0416,S02,S1,N0,0.9916894167992077,0.9818412565163713,0.24307399267674273,0.24229885526312467,0.0658768195290164,0.997314453125,0.4606040133698094,0.0857506502595378
MACS0416,S02,S1,N1,0.991689416799208,0.9818412565163713,0.9921127654809121,0.9999999999999998,0.9999999999999997,0.941162109375,0.010587931706994902,-6.591949208711867e-17
MACS0416,S02,S1,N2,0.9916894167992081,0.9818412565163713,0.9904171268093868,1.0000000000000004,1.1220957023725442,0.997314453125,0.011652654482386306,0.020195154639979552
MACS0416,C10-S03,S0,N0,0.17993238552926838,0.2022449972049145,0.002255937147222589,40.8539383566398,156.8920157722631,0.922119140625,0.8048314471431743,-0.665197226875331
