cluster_id,model,stage_id,observable,integrated_abs_radial_difference,r_centre_max,r_centre_min
AbellS1063,A8,S20,gamma1,0.5732403170591465,0.02945943251497285,-0.21843534997419967
AbellS1063,A8,S20,gamma2,0.20537610533902903,0.06958908927867352,-0.023668321130454605
AbellS1063,A8,S20,gamma_mag,1.4344593734007025,0.2638462809076929,0.22378176395409582
Abell370,C10,S00,,0.0,0.7406421864465917,0.05210562402324916
Abell370,C10,S01,,2.2679790048891406,0.13331559356038652,0.009379012324184848
Abell370,C10,S02,,1.9360445087238063,0.15013014373439176,0.02577877097253985
Abell370,C10,C10-S03,,11.43793518633707,0.8712355082785141,0.6584291609898909
Abell370,C10,C10-S04,,2.8013623171124067,0.003564396099071557,-0.01761652372898381
Abell370,C10,C10-S05,,2.7391412220826807,0.03742373867036482,-0.005464895655614245
Abell370,C10,C10-S06,,2.8013623171124067,0.003564396099071557,-0.01761652372898381
Abell370,C10,S13_P0,,2.1777979741101507,0.12070957294294193,0.017201977924858888
Abell370,C10,S13_P3,,2.757241816379326,0.010850262614282489,-0.004412656997416799
Abell370,C10,S13_P4,,2.2176367535259076,0.11584202860601371,0.01561963714123225
Abell370,C10,S19,kappa,0.5535266522200429,0.19260229443664673,-0.007167853061667103
Abell370,C10,S20,gamma1,0.45639722993865933,0.0969746157918285,-0.0035065111490270293
Abell370,C10,S20,gamma2,0.38370690677043595,0.04602737994114245,-0.01884410060818093
Abell370,C10,S20,gamma_mag,0.13528227010856042,0.1077946613832744,0.05532308790927223
Abell370,A8,S00,,2.26736512316225,0.13315295043656547,0.00924602320905993
Abell370,A8,S01,,2.26736512316225,0.13315295043656547,0.00924602320905993
Abell370,A8,S02,,0.9574107616566402,0.6019778514748368,0.10733023079420202
Abell370,A8,A8-S03,,2.2695271475718255,0.12969505579180052,0.008991640193060006
Abell370,A8,A8-S04,,2.2696688362924156,0.12952511683479806,0.00898996702675673
Abell370,A8,A8-S05,,2.2705345663536156,0.1293148561968092,0.00922324446178599
Abell370,A8,A8-S06,,2.2706719228881114,0.1291183833270339,0.009213464143297226
Abell370,A8,A8-S07,,2.765802977577962,1.0168337694103154e-05,-5.587427913512356e-06
Abell370,A8,A8-S08,,2.765834073262428,1.3409826992429654e-06,-2.440401046584757e-06
Abell370,A8,A8-S09,,2.7657969590583877,1.2608738740687912e-05,-6.928410612755322e-06
Abell370,A8,A8-S10,,2.2701703795902635,0.12932175008091598,0.009101715585026978
Abell370,A8,A8-S11,,2.2700308569627206,0.12950495599430487,0.009107442327422997
Abell370,A8,A8-S12,,2.772610265137821,0.0013688982353887876,-0.008382887971626611
Abell370,A8,A8-P5,,2.2701703795902635,0.12932175008091598,0.009101715585026978
Abell370,A8,A8-P6,,2.764824968147158,0.00040673350776412615,-0.0002234971165404942
Abell370,A8,S13_P0,,0.7635296957318507,0.5518028496793161,0.08985212647688508
Abell370,A8,S13_P3,,2.7556265516691267,0.0033929359632266388,-0.00132421168106857
Abell370,A8,S13_P4,,0.7564930432064796,0.5510995779745109,0.08910500929152601
Abell370,A8,S19,kappa,0.5035851949243759,0.37195113107894445,0.016306815053726092
Abell370,A8,S20,gamma1,0.4134943585188963,0.18798062459174417,0.008075861270605821
Abell370,A8,S20,gamma2,0.5328349441058068,0.1924499258785287,-0.1214494461191135
Abell370,A8,S20,gamma_mag,1.9822606236837563,0.4655624017247007,0.2429138869521213
