native_axis,native_source_z,native_source_y,native_source_x,native_dest_z,native_dest_y,native_dest_x,mapped_axis,mapped_source_z,mapped_source_y,mapped_source_x,mapped_dest_z,mapped_dest_y,mapped_dest_x,endpoint_swap,expected_sign,A_native,A_transformed_back,absolute_difference
yp,0,23,2,0,24,2,xp,0,2,23,0,2,24,False,1,-1.510536237819031e-06,-2.5178072113198907e-06,1.0072709735008598e-06
yp,0,24,2,0,25,2,xp,0,2,24,0,2,25,False,1,3.6976442875882045e-06,6.671434848685314e-06,2.973790561097109e-06
yp,0,25,2,0,26,2,xp,0,2,25,0,2,26,False,1,1.2812118664592941e-05,1.3666023355657463e-05,8.539046910645216e-07
yp,0,26,2,0,27,2,xp,0,2,26,0,2,27,False,1,5.120934492645427e-06,-2.63626444240467e-06,7.757198935050098e-06
yp,0,27,2,0,28,2,xp,0,2,27,0,2,28,False,1,-1.0022766959600426e-05,-9.433198040219692e-06,5.895689193807344e-07
yp,0,28,2,0,29,2,xp,0,2,28,0,2,29,False,1,-7.23305080728017e-06,-3.2232525236003943e-06,4.009798283679775e-06
yp,0,29,2,0,30,2,xp,0,2,29,0,2,30,False,1,2.0876929045880154e-06,3.296007332929067e-06,1.2083144283410516e-06
yp,0,30,2,0,31,2,xp,0,2,30,0,2,31,False,1,-4.275127208795652e-06,-2.933648115728938e-06,1.3414790930667145e-06
yp,0,31,2,0,32,2,xp,0,2,31,0,2,32,False,1,-8.013720997846507e-06,-4.293817516693106e-06,3.719903481153401e-06
yp,0,32,2,0,33,2,xp,0,2,32,0,2,33,False,1,-3.527928312829652e-06,-2.315607303719605e-06,1.212321009110047e-06
yp,0,33,2,0,34,2,xp,0,2,33,0,2,34,False,1,3.52458119306113e-06,6.548000046608133e-07,2.8697811884003166e-06
yp,0,34,2,0,35,2,xp,0,2,34,0,2,35,False,1,3.4070895157900506e-06,3.661746612464729e-06,2.5465709667467835e-07
yp,0,35,2,0,36,2,xp,0,2,35,0,2,36,False,1,5.311983714290473e-06,-3.623136620790847e-07,5.674297376369558e-06
yp,0,36,2,0,37,2,xp,0,2,36,0,2,37,False,1,2.8436404496984536e-07,3.888662421479088e-06,3.604298376509243e-06
yp,0,37,2,0,38,2,xp,0,2,37,0,2,38,False,1,-5.126013138913971e-06,-6.382889539127716e-06,1.256876400213745e-06
yp,0,38,2,0,39,2,xp,0,2,38,0,2,39,False,1,-1.4112753385531632e-06,-2.504682623139462e-07,1.160807076239217e-06
yp,0,39,2,0,40,2,xp,0,2,39,0,2,40,False,1,-2.0960500703308236e-06,1.6987994430392476e-06,3.7948495133700712e-06
yp,0,40,2,0,41,2,xp,0,2,40,0,2,41,False,1,7.451340642497917e-07,2.3227801318005046e-06,1.577646067550713e-06
yp,0,41,2,0,42,2,xp,0,2,41,0,2,42,False,1,2.141273276962543e-06,-5.00628761905578e-07,2.641902038868121e-06
yp,0,42,2,0,43,2,xp,0,2,42,0,2,43,False,1,7.151215312549588e-08,-7.506063391903021e-06,7.577575545028517e-06
yp,0,43,2,0,44,2,xp,0,2,43,0,2,44,False,1,-3.709154568224517e-06,-5.740938655809409e-06,2.031784087584892e-06
yp,0,44,2,0,45,2,xp,0,2,44,0,2,45,False,1,-4.8276580806093775e-06,-5.053853674902639e-06,2.2619559429326182e-07
