architecture_family,attenuation_log,attenuation_score,closest_ratio_value,closest_stable_ratio,cluster,cluster_id,coherence_length,dispersion_class,energy_final,energy_initial,group_velocity_normalized,helicity,laboratory_id,longitudinal_energy_fraction,longitudinal_score,mode_conversion_fraction,mode_stability,model,number_of_wave_modes,perturbation,phase_velocity_normalized,polarization_axis,polarization_like,propagating_score,relative_distance_to_3alpha,relative_distance_to_alpha,spatial_dimension,standing_score,transverse_1_energy_fraction,transverse_2_energy_fraction,transverse_score
D14 (ordering),,0.0,0.014594705138567603,2*alpha_fs,Abell2744,,3.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.49739369998083194,,0.9963849398198551,,2,,0.0,,0.010227680767744607,0.0,inf,inf,,0.0,,,0.6274939268271771
D14 (ordering),,0.0,0.021892057707851405,3*alpha_fs,MACS0416,,7.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.49645749319871696,,0.998145753501943,,2,,0.0,,0.01631773295907224,0.0,inf,inf,,0.0,,,0.6903636686732463
D14 (ordering),,0.0,0.014594705138567603,2*alpha_fs,MACS1149,,4.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.4944050842725694,,0.9949942815796776,,2,,0.0,,0.027957526761117846,0.0,inf,inf,,0.0,,,0.7615335992887544
D14 (ordering),,0.0,0.014594705138567603,2*alpha_fs,AbellS1063,,3.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.49708721990931654,,0.995108447728329,,2,,0.0,,0.01484223440941046,0.0,inf,inf,,0.0,,,0.7542022896116877
D14 (ordering),,0.0,0.014594705138567603,2*alpha_fs,Abell370,,3.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.4980019466155691,,0.9928743056091363,,2,,0.0,,0.008280202803796932,0.0,inf,inf,,0.0,,,0.5523514632332011
D15 (timescale),,0.0,0.014594705138567603,2*alpha_fs,Abell2744,,3.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.49742642122278696,,0.991636494378927,,2,,0.0,,0.010075149363091174,0.0,inf,inf,,0.0,,,0.6301163028353378
D15 (timescale),,0.0,0.021892057707851405,3*alpha_fs,MACS0416,,7.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.49649849981797023,,0.9928034615003106,,2,,0.0,,0.016089647413454644,0.0,inf,inf,,0.0,,,0.6952459083316888
D15 (timescale),,0.0,0.014594705138567603,2*alpha_fs,MACS1149,,4.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.49445482903557125,,0.9943674563976084,,2,,0.0,,0.027623931860264683,0.0,inf,inf,,0.0,,,0.7695014219907046
D15 (timescale),,0.0,0.014594705138567603,2*alpha_fs,AbellS1063,,3.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.4971236865671885,,0.9945443762576156,,2,,0.0,,0.014632692488537269,0.0,inf,inf,,0.0,,,0.7617996619610803
D15 (timescale),,0.0,0.014594705138567603,2*alpha_fs,Abell370,,3.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.49802936439334655,,0.9894813572894323,,2,,0.0,,0.008151979314950597,0.0,inf,inf,,0.0,,,0.5525560494147989
