candidate_a_code,candidate_b_code,cluster_id,field,normalization,trajectory_correlation,transform
T1,T4,Abell2744,neighbour_coherence,N1,0.9999999999999998,R3
T1,T4,Abell2744,neighbour_coherence,N1,1.0000000000000002,R4
T1,T4,Abell2744,neighbour_coherence,N1,0.0,R5
T1,T4,Abell2744,neighbour_coherence,N1,0.0,R6
T1,T4,Abell2744,neighbour_coherence,N2,1.0000000000000002,R1
T1,T4,Abell2744,neighbour_coherence,N2,1.0000000000000002,R2
T1,T4,Abell2744,neighbour_coherence,N2,1.0,R3
T1,T4,Abell2744,neighbour_coherence,N2,1.0000000000000002,R4
T1,T4,Abell2744,neighbour_coherence,N2,0.0,R5
T1,T4,Abell2744,neighbour_coherence,N2,0.0,R6
T1,T4,Abell2744,neighbour_coherence,N3,0.9999999999999998,R1
T1,T4,Abell2744,neighbour_coherence,N3,0.9999999999999998,R2
T1,T4,Abell2744,neighbour_coherence,N3,1.0000000000000002,R3
