cluster_id,model,channel_id,channel_name,decomposition_type,divergence_rms,curl_rms,pearson_div_vs_kappa_gr,pearson_div_vs_gamma1_gr,pearson_div_vs_gamma2_gr,pearson_div_vs_gamma_mag_gr,pearson_curl_vs_kappa_gr,pearson_curl_vs_gamma1_gr,pearson_curl_vs_gamma2_gr,pearson_curl_vs_gamma_mag_gr,spearman_div_vs_kappa_gr,spearman_div_vs_gamma_mag_gr,spearman_curl_vs_kappa_gr,spearman_curl_vs_gamma_mag_gr
AbellS1063,C10,CH4,Solenoidal (Helmholtz),helmholtz_solenoidal,0.0017729253315552484,0.017107119819169445,0.0024530546709270735,0.002892046849579858,0.02096566072595894,0.023876538612348796,-0.6424486206324889,0.036841160330905856,-0.02719472307206979,0.046303949735848816,0.009823375443179187,0.015519392728564455,-0.58019473212302,0.021922483484297005
AbellS1063,A8,CH0,Native full response,native,4.1204571480825575e-17,0.020804787382347544,0.02636146787123526,0.007870092759103295,0.03418982397576948,0.023627707458421805,-0.6541607620699277,-0.000546047230364654,-0.027608308531852224,0.041742177289577055,0.042766520683241376,0.014498929833463868,-0.5758810145607077,0.0071824991816468045
AbellS1063,A8,CH1,Longitudinal (local-gradient),local_longitudinal,0.0023591284815126113,0.004221759270239337,0.0038588979396013225,-0.01232006872341442,0.005953140852307988,0.009266673840322768,0.008940879043298596,-0.00027365951679897833,-0.00606979724636569,-0.017102638061248645,-0.0027217214686704556,0.004329302664450715,0.007707114674388747,-0.0026763008057915155
AbellS1063,A8,CH2,Transverse (local-gradient),local_transverse,0.002345739798152546,0.0204716644100618,0.0011701344806990812,0.01668918204706639,-0.0018618260811376387,-0.007253030968012729,-0.6664667391950538,-0.0016431470858708148,-0.02710840597692469,0.04774497290141304,0.009203332326387306,-0.005466802080511425,-0.6003274738168887,0.01702589881807335
AbellS1063,A8,CH3,Irrotational (Helmholtz),helmholtz_irrotational,0.0025045287354653317,0.0017935364188189226,-0.009879321383789944,-0.001101903433324701,0.0025649744431068934,-0.017028155675939047,-0.11165592225289434,0.002973673627133585,0.002299263074368948,0.005564892748855423,0.0010003026705415648,-0.01473883179089542,-0.09428599183149959,0.00752309801194656
AbellS1063,A8,CH4,Solenoidal (Helmholtz),helmholtz_solenoidal,0.002504528735465331,0.020441709653189602,0.009879321383790399,0.001101903433324811,-0.0025649744431062867,0.017028155675939474,-0.6559831564322403,-0.0008166534313603038,-0.028300413442724225,0.041995329211922686,-0.0010003026705415648,0.01473883179089542,-0.5788961714593275,0.0077246794774006
Abell370,C10,CH0,Native full response,native,0.002724402809927533,0.02400100201318358,0.016393623086189003,-0.02552136614531085,-0.000912423305063825,0.0007450457744328277,-0.6182547815763577,0.017097457381565453,0.05318753232425601,-0.06506165372741035,0.027542766428307677,-0.015408010849368475,-0.615179499375157,-0.07914292125743531
Abell370,C10,CH1,Longitudinal (local-gradient),local_longitudinal,0.004180506073898379,0.006357036365679756,0.008786174487221493,-0.0014183697484721318,0.020900047645953615,0.02090292603031425,-0.0020970938279733127,0.07569327130267388,0.019128879895724888,-0.009624318036407033,0.015002236780843841,0.02278527753265366,-0.015557656991938174,-0.016783008188114058
Abell370,C10,CH2,Transverse (local-gradient),local_transverse,0.004630946855115572,0.02296334926083681,0.0033233260449488673,-0.01428579685220308,-0.019353123948753596,-0.01852019016215411,-0.6464886395472703,-0.0028764562367432477,0.05039072855106522,-0.06559860185894784,0.00586037489125877,-0.03119417756928817,-0.6463253042798671,-0.08217060648269842
Abell370,C10,CH3,Irrotational (Helmholtz),helmholtz_irrotational,0.0037068048200582793,0.001660898797277257,0.002630900409519411,-0.024480774950962503,-0.030713320680351458,0.0003751093303473298,-0.07561409251173558,0.0008381142817831524,-0.007992272889090586,-0.01486850584217287,0.007034811261322276,-0.017939137607444828,-0.11783327573568528,-0.019792725231251133
Abell370,C10,CH4,Solenoidal (Helmholtz),helmholtz_solenoidal,0.00275832599753264,0.02361989880530377,0.01265644042683472,0.007691252326900979,0.04037320704576478,0.0002317881822487426,-0.6229135379285369,0.017314397538138706,0.05460773929798774,-0.0650659239158746,0.011925262120288587,0.006362315588340347,-0.6167935651957879,-0.07779057968044384
Abell370,A8,CH0,Native full response,native,5.610359800732224e-17,0.030181157792335014,0.007425212857594195,-0.02449300593979495,0.0066525523580195966,-0.004393308372719288,-0.6647052961211946,-0.022634817537372443,0.04701104802805056,-0.07654029092853397,0.019689689458012697,-0.006895404836447825,-0.6749008212994342,-0.0795546096321149
Abell370,A8,CH1,Longitudinal (local-gradient),local_longitudinal,0.002670773450923321,0.004853663704612807,-0.006720928251910021,-0.010579518513730972,0.005567944124320678,-0.0020051105555972983,-0.014896321268803171,-0.010986662883976987,0.020960074268855728,-0.021352084521714082,0.00011402148036041739,0.0013042809637021102,-0.01180578524299921,-0.00889730762637005
Abell370,A8,CH2,Transverse (local-gradient),local_transverse,0.0026747661563831884,0.0301886451339766,0.005877751321045177,0.009953194643021853,-0.006192868480416964,0.00018291184501405516,-0.6632534825181046,-0.020274395916614375,0.04371106564789543,-0.07347603482305542,-0.0013156665574784016,-0.004147110637663939,-0.6751869719819782,-0.0782413184712123
Abell370,A8,CH3,Irrotational (Helmholtz),helmholtz_irrotational,0.0036894995599457392,0.0022039529935799092,-0.006131648160074293,-0.009508911148995072,-0.001404377453838333,-0.005477301384427433,-0.12131909358038148,-0.004318643429672116,-0.008584375049246671,-0.015178776594108576,-0.0030671058420974518,-0.010555055214114054,-0.1508778690767322,-0.015017924386679345
Abell370,A8,CH4,Solenoidal (Helmholtz),helmholtz_solenoidal,0.003689499559945742,0.029628989836367463,0.006131648160074395,0.009508911148994692,0.001404377453838436,0.005477301384427365,-0.6680684178045344,-0.022735397432029927,0.04852570235266345,-0.07683762129788198,0.0030671058420974518,0.010555055214114054,-0.6764185767767847,-0.07916727522779779
