cluster_id,model,channel_id,channel_name,n_photons,n_steps,mean_displacement_x,mean_displacement_y,max_deviation_mean,bending_angle_mean,conservation_max,kappa_rms,kappa_pearson_vs_gr,gamma1_rms,gamma2_rms,gamma_mag_rms,gamma_mag_pearson_vs_gr,rotation_rms,rotation_pearson_vs_gr
AbellS1063,C10,CH2,Transverse (local-gradient),19881,160,2.384937301091501,0.001700533459487447,0.025331044903934063,0.03627944361699971,2.220446049250313e-16,0.11735503507982867,0.30631365205682987,0.058717308764666715,0.024163978899729592,0.06349504094676829,0.18038962075673715,0.0,nan
AbellS1063,C10,CH3,Irrotational (Helmholtz),19881,160,2.384994520977037,-0.0009460601328255553,0.008637220446360441,0.006441223420681708,2.220446049250313e-16,0.05460758468412892,0.1776783395449837,0.02730605204071214,0.004476465637501234,0.027670547928326412,0.24762203813871836,0.0,nan
AbellS1063,C10,CH4,Solenoidal (Helmholtz),19881,160,2.3849273217207165,0.004018189986035696,0.028806015456870532,0.03828150589785925,2.220446049250313e-16,0.08902035423706413,0.27809711289867073,0.04458408884885984,0.023636354505004786,0.0504620474492394,0.24500158574031894,0.0,nan
AbellS1063,A8,CH0,Native full response,19881,160,2.384898918578677,0.003751920303184886,0.03274884104038417,0.05116415114626082,2.220446049250313e-16,0.1248378988585608,0.3228455360618753,0.06254158046681053,0.033122512848354976,0.07077111094702397,0.08609196163638712,0.0,nan
AbellS1063,A8,CH1,Longitudinal (local-gradient),19881,160,2.3849964280116676,0.00026695315329658853,0.006663800999507668,0.011625722560859555,2.220446049250313e-16,0.06803267961190802,-0.04753914159486743,0.034015555284910945,0.005926659589607602,0.034528007403149125,0.0907533146334587,0.0,nan
AbellS1063,A8,CH2,Transverse (local-gradient),19881,160,2.3849066890361845,0.0035092418631936725,0.03118748012303513,0.04743222213511064,2.220446049250313e-16,0.13113560400368915,0.32943168846244236,0.06563674834081626,0.032013815733833405,0.07302785174572428,0.16539248897477152,0.0,nan
AbellS1063,A8,CH3,Irrotational (Helmholtz),19881,160,2.384992310125184,-0.00181663225673422,0.009193128265796156,0.008955744913969811,2.220446049250313e-16,0.050916792197914125,0.1801115124408111,0.025460245832977065,0.006706840419042584,0.02632880221890334,-0.0049182507661850285,0.0,nan
AbellS1063,A8,CH4,Solenoidal (Helmholtz),19881,160,2.384896184070468,0.0055479568335988156,0.035033455489017165,0.050557313079567824,2.220446049250313e-16,0.10275771650929816,0.30725686252899254,0.05153331538673588,0.03118190716502641,0.06023283099105599,0.14569974957475892,0.0,nan
Abell370,C10,CH0,Native full response,19881,160,2.3849007241902016,0.0037855270667822155,0.03126935042460014,0.0590352609331762,2.220446049250313e-16,0.17312051572891457,0.367739686259683,0.08652349525445972,0.03234642226664013,0.09237210761101158,0.38979366663119597,0.0,nan
Abell370,C10,CH1,Longitudinal (local-gradient),19881,160,2.3849902733298554,0.001133728920139289,0.011139791794224084,0.017855035211853987,2.220446049250313e-16,0.11551866206720557,-0.07760101357173779,0.057759704789660304,0.007329780059729548,0.05822292652480393,0.07161671798730232,0.0,nan
Abell370,C10,CH2,Transverse (local-gradient),19881,160,2.3849042643462113,0.0028021565788465376,0.03134193885904312,0.0561477262847267,2.220446049250313e-16,0.18975175899557042,0.3867357351806752,0.09485835911699712,0.031670202796674665,0.10000555004374352,0.4250876171864183,0.0,nan
Abell370,C10,CH3,Irrotational (Helmholtz),19881,160,2.38499047054028,0.0027840043481902046,0.010379648317029533,0.011566590332924882,2.220446049250313e-16,0.08962413055840499,0.22656148261190867,0.04480938548366607,0.008233908239922112,0.04555961229342543,0.423812895665395,0.0,nan
Abell370,C10,CH4,Solenoidal (Helmholtz),19881,160,2.384915791985261,0.001034208195590593,0.02777199963299363,0.05755843093632516,2.220446049250313e-16,0.12177506304356428,0.3604050202713066,0.06086145245075947,0.029674000958122875,0.0677101375517635,0.32056332415303174,0.0,nan
Abell370,A8,CH0,Native full response,19881,160,2.3848487424451568,0.004308375712321165,0.0378258476270184,0.08337114390248682,2.220446049250313e-16,0.1946013793475417,0.4268277781281266,0.09726609807808284,0.041633933860157867,0.10580207126520365,0.38306940957957425,0.0,nan
Abell370,A8,CH1,Longitudinal (local-gradient),19881,160,2.384995522645364,-0.00017566759150717677,0.007012514859504986,0.013387342463639413,2.220446049250313e-16,0.07146087408840265,-0.06422936823766506,0.03572980717931354,0.006226087361650844,0.03626821314740821,-0.10896492379616449,0.0,nan
Abell370,A8,CH2,Transverse (local-gradient),19881,160,2.38485738207571,0.004304498790102023,0.0371677601132444,0.08115859580826922,2.220446049250313e-16,0.1981498029202994,0.44083906004492485,0.09904326445907176,0.03981543114145882,0.10674660084372653,0.3882827285239695,0.0,nan
Abell370,A8,CH3,Irrotational (Helmholtz),19881,160,2.384992638247509,0.002086173984635794,0.008609466096804562,0.01209405921405933,2.220446049250313e-16,0.0797819471730496,0.3201662116357272,0.03988311752148507,0.007921677768562079,0.04066221885118322,0.38017433985515126,0.0,nan
Abell370,A8,CH4,Solenoidal (Helmholtz),19881,160,2.3848710175682095,0.002264942198735133,0.03316382803346255,0.0814242249962727,2.220446049250313e-16,0.14100496458731862,0.40763250154691544,0.0704831928969302,0.039497312793142565,0.08079553328510937,0.31556641377454275,0.0,nan
