cluster_id,model,stage,r_00,r_0p1,r_0m1,r_p10,r_m10,best_dx,best_dy,delta_r_0p1,best_lag_value,best_lag_correspondence
Abell370,A8,native_response_rx,-0.005309145111682846,0.4131914147466979,-0.4340009279171178,-0.020408431616336997,0.005899729293439669,0,1,0.41850055985838075,0.4131914147466979,True
Abell370,A8,longitudinal_amplitude,-0.007553616079057255,-0.0012362994201937875,-0.0008885655155903354,-0.0006418275881424962,-0.0027575189404047164,0,0,0.006317316658863467,-0.0006418275881424962,False
Abell370,A8,transverse_amplitude,0.313408490402784,0.3400775718477711,0.3247833993201849,0.3403884362975408,0.32422637723451647,0,0,0.026669081444987086,0.3403884362975408,False
Abell370,A8,divergence_native,0.007425212857594195,0.029499006498811303,0.0013054017588051356,0.024115412068924973,-0.0019087290121170858,0,1,0.02207379364121711,0.029499006498811303,True
Abell370,A8,curl_native,-0.07654029092853397,-0.06071028808950928,-0.05312480435458029,-0.053017985613257324,-0.0586446529134326,0,0,0.015830002839024686,-0.053017985613257324,False
Abell370,A8,per_step_displacement_dx,nan,nan,nan,nan,nan,0,0,nan,nan,False
Abell370,A8,accumulated_displacement_x,0.04266248346436992,0.14158509475315323,-0.08156352205172504,-0.0457252489853252,0.08030430486832975,0,1,0.09892261128878331,0.14158509475315323,True
Abell370,A8,jacobian_trace,-0.4268277781281266,0.3611093957150286,-0.44822289321758724,-0.44377004803834436,-0.25316287570316803,0,1,0.7879371738431552,0.3611093957150286,True
Abell370,A8,final_convergence,0.4268277781281266,-0.3611093957150286,0.44822289321758724,0.44377004803834436,0.25316287570316803,0,0,-0.7879371738431552,0.44822289321758724,False
Abell370,A8,final_shear,0.38306940957957425,0.3393854442703841,0.26083249484097293,0.39141840442371056,0.3624755923151885,0,0,-0.043683965309190165,0.39141840442371056,False
