cluster_id,candidate_id,D_rms,C_rms,Cx_rms,Cy_rms,Cz_rms
AbellS1063,PL3_PM2_PS1,2.6964798497999053e-05,3.8771283646034034e-05,2.2577607426509605e-05,2.2925053064644863e-05,2.1631135440352222e-05
AbellS1063,PL3_PM2_PS2,2.0505968207778875e-05,3.435743955393738e-05,1.9869778117551687e-05,2.025729280511285e-05,1.937182641027036e-05
AbellS1063,PL4_PM1_PS1,3.355083301808968e-05,4.736312479209946e-05,2.753762504457478e-05,2.796826423579813e-05,2.6508885163525266e-05
AbellS1063,PL4_PM1_PS2,3.1225769200954654e-05,4.865761644985926e-05,2.8330163562998528e-05,2.8737178237816507e-05,2.718713037456014e-05
AbellS1063,PL4_PM2_PS1,2.674401937880136e-05,3.874379147452233e-05,2.2477901405257465e-05,2.283023085647834e-05,2.1785451229586636e-05
AbellS1063,PL4_PM2_PS2,2.1121732802079796e-05,3.469266560603531e-05,1.999592719769125e-05,2.0372946276831064e-05,1.9715146521346776e-05
AbellS1063,PL5_PM1_PS1,3.366273973757697e-05,4.701713214218193e-05,2.7538047674354674e-05,2.787859341910518e-05,2.5981737319367068e-05
AbellS1063,PL5_PM1_PS2,3.073218336962537e-05,4.8350473044558754e-05,2.8276126645696607e-05,2.858793403343911e-05,2.6850678450438894e-05
AbellS1063,PL5_PM2_PS1,2.7002155340582974e-05,3.86365657806722e-05,2.2594508242682523e-05,2.2833005697896134e-05,2.1469193356887085e-05
AbellS1063,PL5_PM2_PS2,2.0753437543332623e-05,3.427332154273696e-05,1.993223258291808e-05,2.0193691472739894e-05,1.922450255627147e-05
AbellS1063,PL6_PM1_PS1,3.3766408254394634e-05,4.73803194813377e-05,2.7592993932747517e-05,2.8095758456758412e-05,2.6346721175897305e-05
AbellS1063,PL6_PM1_PS2,3.096331717203098e-05,4.8862772343391866e-05,2.8477933386705486e-05,2.8906699778523326e-05,2.7220957716781846e-05
AbellS1063,PL6_PM2_PS1,2.689896567644474e-05,3.877593736502831e-05,2.2542285131816387e-05,2.2911728036774755e-05,2.1690353107807124e-05
AbellS1063,PL6_PM2_PS2,2.0639625599127342e-05,3.444407666566162e-05,1.9895099171335354e-05,2.0286330289854374e-05,1.946905877754864e-05
Abell370,PL1_PM1_PS1,3.3644316042202295e-05,4.854051906429676e-05,2.7899456771222278e-05,2.8206549446870103e-05,2.7967711225685393e-05
Abell370,PL1_PM1_PS2,3.400863764273049e-05,4.870463424477874e-05,2.7884240104908557e-05,2.8148724233014386e-05,2.8324192393485673e-05
Abell370,PL1_PM2_PS1,2.800187012867878e-05,4.011051242561202e-05,2.299978711998956e-05,2.3249773840492936e-05,2.322307076693927e-05
Abell370,PL1_PM2_PS2,2.6457722810658208e-05,3.8242419148554546e-05,2.1912530795848457e-05,2.2210603379896535e-05,2.2113631858101763e-05
