cluster_id,candidate_id,response_energy,f_irr_3d,f_sol_3d,f_irr_3d_cropped,f_sol_3d_cropped,f_z,F_Dz,D_rms,C_rms,helicity_total
MACS0416,PL2_PM2_PS2,3.509214933535632e-05,0.5114213228915729,0.48857867710842706,0.5030401617693975,0.4969598382306026,0.2595495967295438,0.35287501865951443,2.118378340400537e-05,3.478734562332242e-05,-3.1088753089195996e-08
MACS0416,PL3_PM1_PS1,7.172984964866043e-05,0.49351787957053384,0.5064821204294663,0.49138383295876736,0.5086161670412327,0.2951143509652348,0.3678223217546862,3.452399371200059e-05,4.780200707716215e-05,-3.5887202807823204e-08
MACS0416,PL3_PM1_PS2,7.070546155602508e-05,0.48461265445360713,0.5153873455463929,0.47503966595216573,0.5249603340478342,0.2840519370704384,0.39356862275337196,3.163868142788242e-05,4.936795307454792e-05,-8.737683814448522e-08
MACS0416,PL3_PM2_PS1,4.796408782192027e-05,0.5062167750446918,0.4937832249553082,0.5043253507538851,0.495674649246115,0.28343934690965256,0.3269343787995572,2.7600905563634133e-05,3.9118606553381124e-05,-1.7453725010171834e-08
MACS0416,PL3_PM2_PS2,3.4809827085116187e-05,0.5111246520042899,0.4888753479957101,0.5026820524895561,0.4973179475104439,0.2634329036262366,0.3539833713612284,2.1022750663006445e-05,3.468123533882117e-05,8.081229116681844e-09
MACS0416,PL4_PM1_PS1,7.16444844557653e-05,0.4894784534626544,0.5105215465373456,0.48673607881805137,0.5132639211819485,0.28212323976117243,0.3644980834555859,3.4321587731225876e-05,4.789204009340345e-05,-9.850782813891879e-08
MACS0416,PL4_PM1_PS2,7.067158848010434e-05,0.485260083749555,0.5147399162504449,0.47614264990071886,0.523857350099281,0.27328928521084533,0.3907164470889806,3.201236617348169e-05,4.92092293000924e-05,-3.210090595210714e-07
MACS0416,PL4_PM2_PS1,4.778300531077449e-05,0.5068042451475642,0.4931957548524359,0.5044006161349271,0.49559938386507285,0.26937151786078295,0.32144870550843424,2.7370027334782272e-05,3.912675093687243e-05,-7.136756883730795e-08
MACS0416,PL4_PM2_PS2,3.613745038999648e-05,0.5146589562366308,0.4853410437633691,0.5065450329596883,0.4934549670403116,0.2506684515046408,0.3392080625320696,2.177070969151022e-05,3.513983182249325e-05,-7.40180813495747e-08
MACS0416,PL5_PM1_PS1,7.17382159232952e-05,0.4967931719403081,0.5032068280596919,0.49479568086841125,0.5052043191315887,0.29797285219305014,0.36427467585290557,3.465307698166119e-05,4.755026215283285e-05,1.3343797774925388e-07
